customer_name,device_name,service_name,start_date,latitude,longitude
Oh,bV,rp,1970-01-02T00:00:00Z,00°01.0000′N,000°01.0000′W
oiV,gRV,IfL,1970-01-03T00:00:00Z,00°02.0000′N,000°02.0000′W
Bcbf,noGM,bJmT,1970-01-04T00:00:00Z,00°03.0000′N,000°03.0000′W
PSIAo,CLrZa,WZkSB,1970-01-05T00:00:00Z,00°04.0000′N,000°04.0000′W
vrjnWv,gfygww,MqZcUD,1970-01-06T00:00:00Z,00°05.0000′N,000°05.0000′W
IhyfJsO,NxKmTec,QoXsfog,1970-01-07T00:00:00Z,00°06.0000′N,000°06.0000′W
yrDOxkxw,nQrSRPeM,OkIUpkDy,1970-01-08T00:00:00Z,00°07.0000′N,000°07.0000′W
rOSJoRuXX,docZuzren,KTunPFzPD,1970-01-09T00:00:00Z,00°08.0000′N,000°08.0000′W
jqipVJIqVL,BLzxoiGFfW,dhjOkYRBMe,1970-01-10T00:00:00Z,00°09.0000′N,000°09.0000′W
yyMDHqJaRUh,RIWrXPvhsBk,DaUUqGWlGgO,1970-01-11T00:00:00Z,00°10.0000′N,000°10.0000′W
t,O,G,1970-01-12T00:00:00Z,00°11.0000′N,000°11.0000′W
Mm,jx,Wk,1970-01-13T00:00:00Z,00°12.0000′N,000°12.0000′W
IXH,aMu,Fbh,1970-01-14T00:00:00Z,00°13.0000′N,000°13.0000′W
xZtp,dpKf,fUFe,1970-01-15T00:00:00Z,00°14.0000′N,000°14.0000′W
WIXii,QEJkq,HMBnI,1970-01-16T00:00:00Z,00°15.0000′N,000°15.0000′W
WUSmTt,zQPxCH,Chpoev,1970-01-17T00:00:00Z,00°16.0000′N,000°16.0000′W
bLJoLoa,eTOdoec,veGprQF,1970-01-18T00:00:00Z,00°17.0000′N,000°17.0000′W
nIiUKKEp,YEZAmggQ,BwBADUdR,1970-01-19T00:00:00Z,00°18.0000′N,000°18.0000′W
PPgdzUvZg,pmmICiBlr,DpeCZJgdP,1970-01-20T00:00:00Z,00°19.0000′N,000°19.0000′W
IafWpkAFEn,zdkyayqYYD,sBSUYJQTFj,1970-01-21T00:00:00Z,00°20.0000′N,000°20.0000′W
msndLVIdVud,dLEGHkdGfle,MeRpzhKpLMc,1970-01-22T00:00:00Z,00°21.0000′N,000°21.0000′W
